Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,0.708500,0.719000,0.633100,0.654900,0.654900,3348450
2017-09-30,0.727400,0.728500,0.663100,0.708500,0.708500,3774630
2017-09-29,0.714600,0.758500,0.706100,0.727400,0.727400,4603840
2017-09-28,0.808500,0.843500,0.697900,0.714600,0.714600,8597897
2017-09-27,0.631400,0.823700,0.629200,0.808500,0.808500,11634404
2017-09-26,0.561400,0.643800,0.556900,0.631400,0.631400,6093032
2017-09-25,0.568800,0.585400,0.551100,0.561400,0.561400,3111743
2017-09-24,0.545400,0.577900,0.524500,0.568800,0.568800,3122841
2017-09-23,0.578000,0.586100,0.541500,0.545400,0.545400,3208145
2017-09-22,0.565900,0.604800,0.557900,0.578000,0.578000,2705869
2017-09-21,0.567100,0.579300,0.531200,0.565900,0.565900,2609360
2017-09-20,0.616600,0.629300,0.543400,0.567100,0.567100,4113626
2017-09-19,0.649300,0.667300,0.615200,0.616600,0.616600,3416422
2017-09-18,0.704900,0.712800,0.646500,0.649300,0.649300,2555517
2017-09-17,0.623300,0.707500,0.622900,0.704900,0.704900,3151410
2017-09-16,0.624000,0.649000,0.567800,0.623300,0.623300,3524669
2017-09-15,0.651100,0.679800,0.578100,0.624000,0.624000,2166344
2017-09-14,0.580600,0.678200,0.514900,0.651100,0.651100,4543809
2017-09-13,0.727200,0.764200,0.520700,0.580600,0.580600,6929316
2017-09-12,0.859000,0.859500,0.660300,0.727200,0.727200,5613781
2017-09-11,0.735000,0.894400,0.729000,0.859000,0.859000,6731634
2017-09-10,0.745000,0.764000,0.710100,0.735000,0.735000,2765708
2017-09-09,0.817400,0.819300,0.699200,0.745000,0.745000,3960901
2017-09-08,0.842100,0.848700,0.757700,0.817400,0.817400,3424553
2017-09-07,0.982800,0.991200,0.780400,0.842100,0.842100,8815302
2017-09-06,0.910600,1.020000,0.852000,0.982800,0.982800,10287229
2017-09-05,0.923000,1.160000,0.856000,0.910600,0.910600,11989392
2017-09-04,0.914200,0.977700,0.750200,0.923000,0.923000,7729943
2017-09-03,1.300000,1.300000,0.821900,0.914200,0.914200,11774351
2017-09-02,1.240000,1.330000,1.210000,1.300000,1.300000,4887793
2017-09-01,1.320000,1.440000,1.190000,1.240000,1.240000,5435995
2017-08-31,1.340000,1.350000,1.280000,1.320000,1.320000,5539771
2017-08-30,1.250000,1.350000,1.250000,1.340000,1.340000,6523912
2017-08-29,1.320000,1.350000,1.220000,1.250000,1.250000,5856106
2017-08-28,1.330000,1.380000,1.310000,1.320000,1.320000,4410672
2017-08-27,1.340000,1.360000,1.290000,1.330000,1.330000,3538019
2017-08-26,1.360000,1.380000,1.320000,1.340000,1.340000,3134463
2017-08-25,1.370000,1.390000,1.330000,1.360000,1.360000,3183819
2017-08-24,1.370000,1.440000,1.330000,1.370000,1.370000,4134960
2017-08-23,1.420000,1.420000,1.330000,1.370000,1.370000,3807187
2017-08-22,1.270000,1.540000,1.260000,1.420000,1.420000,8702128
2017-08-21,1.330000,1.330000,1.240000,1.270000,1.270000,4568631
2017-08-20,1.360000,1.390000,1.310000,1.330000,1.330000,4382936
2017-08-19,1.390000,1.420000,1.330000,1.360000,1.360000,3418818
2017-08-18,1.400000,1.440000,1.290000,1.390000,1.390000,3802323
